ロード:分類:向き:MX:MY:LV:とうぞくのはな:レミラーマ:メッセージ
0:立て札 B:0:0192:00ED:0:0:0:『これより北東 ダーマの神殿あと』
0:本棚:0:0060:0040:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0062:0040:0:0:0:とくに かわった本は ないようだ。
0:引き出し:0:0030:002B:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0052:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0054:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0056:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0058:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005C:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005E:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0060:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0062:002C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0052:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0054:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0056:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0058:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005A:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005C:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005E:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0060:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0062:0035:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0052:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0054:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0056:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0058:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005C:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:005E:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0060:0041:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0062:0041:0:0:0:とくに かわった本は ないようだ。
0:足もと:0:003C:004D:0:0:0:どうやら 人間の骨では ないようだ。
0:立て札 A:0:001A:0023:0:0:0:『よくぞ来た！勇気ある者よ！[AD]
0:貼り紙:0:0018:0014:0:0:0:『つるはしを手に入れし者へ[AD]
0:立て札 B:0:000E:001F:0:0:0:『トビラをひらくべき 旅人よ。[AD]
0:ツボ:0:0044:0025:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0046:0025:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0046:0027:0:0:0:とくに 何も 見つからなかった。
0:立て札 A:0:0046:0033:0:0:0:『この上 キケン 近づくな。』
0:ツボ:0:0020:0043:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:001E:0045:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0042:0057:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0030:0065:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0038:0065:0:0:0:とくに 何も 見つからなかった。
0:落書き:0:0043:0061:0:0:0:『[C9]の よわむし』
0:引き出し:0:001E:0011:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0022:0011:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0016:001E:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0018:001E:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:001A:001E:0:0:0:とくに かわった本は ないようだ。
0:タル:0:0018:0011:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0018:0013:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0020:0011:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0004:000A:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0006:000A:0:0:0:とくに かわった本は ないようだ。
0:引き出し:0:0012:000B:0:0:0:とくに 何も 見つからなかった。
0:立て札 A:0:0032:002B:0:0:0:『キケン！！[AD] ちかよるべからず！！』
0:引き出し:0:0022:0025:0:0:0:とくに 何も 見つからなかった。
0:タル:0:001E:0017:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0020:0017:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0030:001B:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0032:001A:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0034:001A:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:000C:001C:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:000E:001C:0:0:0:とくに かわった本は ないようだ。
0:引き出し:0:0008:001D:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:000A:001D:0:0:0:とくに 何も 見つからなかった。
0:タル:0:001A:0019:0:0:0:とくに 何も 見つからなかった。
0:タル:0:001E:0019:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0034:0021:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0034:0023:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0034:0025:0:0:0:とくに 何も 見つからなかった。
0:立て札 A:0:003E:0029:0:0:0:『チャンプのいえ』
0:タル:0:0012:0009:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0014:0009:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0016:0009:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0018:0009:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:001A:0008:0:0:0:とくに かわった本は ないようだ。
0:タル:0:0010:0013:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0022:0013:0:0:0:とくに 何も 見つからなかった。
0:貼り紙:0:001A:002F:0:0:0:『乗船券[AD] サンマリーノまで[AD] おひとり５０Ｇ』
0:貼り紙:0:0024:002F:0:0:0:『たのしい船旅を！！』
0:タンス:0:0024:002C:0:0:0:とくに 何も 見つからなかった。
0:立て札 A:0:0020:003F:0:0:0:『ヘルハーブおんせん』
0:引き出し:0:0014:0011:0:0:0:とくに 何も 見つからなかった。
0:タンス:0:0012:0010:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0020:0011:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0014:0018:0:0:0:とくに かわった本は ないようだ。
0:立て札 A:0:0032:002B:0:0:0:『キケンにつき[AD] 立入禁止』
0:タンス:0:0026:0016:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0014:001B:0:0:0:とくに 何も 見つからなかった。
0:タンス:0:0016:001A:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:001C:001D:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0022:001A:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0024:001A:0:0:0:とくに かわった本は ないようだ。
0:引き出し:0:002A:001B:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:000E:0018:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:000A:0008:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:000C:0008:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:000E:0008:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:0010:0008:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:0008:0010:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:000A:0010:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:0010:0010:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:本棚:0:0012:0010:0:0:0:なにやら むずかしそうな本が[AD]ならんでいる。
0:タル:0:0010:0023:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0010:0027:0:0:0:とくに 何も 見つからなかった。
0:貼り紙:0:000A:000D:0:0:0:『試合の参加者を求む！[AD](...)
0:本棚:0:0012:0012:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0014:0012:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0012:0012:0:0:0:とくに かわった本は ないようだ。
0:本棚:0:0014:0012:0:0:0:とくに かわった本は ないようだ。
0:ツボ:0:000E:0013:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0010:0013:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0018:0014:0:0:0:とくに かわった本は ないようだ。
0:タル:0:0022:0015:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0024:0015:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0020:000E:0:0:0:とくに かわった本は ないようだ。
0:ツボ:0:0028:0017:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0006:0019:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0008:0019:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0022:001D:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:001C:0010:0:0:0:とくに かわった本は ないようだ。
0:タンス:0:001E:0010:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0026:001F:0:0:0:とくに 何も 見つからなかった。
0:タル:0:002A:001F:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0014:0015:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0016:0015:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0022:0013:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0028:0013:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0028:0015:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0012:001F:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:001C:0013:0:0:0:とくに 何も 見つからなかった。
0:本棚:0:0018:0058:0:0:0:とくに かわった本は ないようだ。
0:宝箱:0:0012:001F:1:0:0:しかし 宝箱は からっぽだった……。
0:タル:0:0006:0011:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0006:000F:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0006:000D:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0010:0013:0:0:0:とくに 何も 見つからなかった。
0:タル:0:0012:0013:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:0006:000B:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:000A:0009:0:0:0:とくに 何も 見つからなかった。
0:ツボ:0:000C:0009:0:0:0:とくに 何も 見つからなかった。
0:宝箱:0:0008:0009:0:0:0:しかし 宝箱は からっぽだった……。
0:井戸:0:002E:0023:1:0:0:とくに 何も 見つからなかった。
0:宝箱:0:0036:0033:0:0:0:しかし 宝箱は からっぽだった……。
0:宝箱:0:005E:0017:0:0:0:しかし 宝箱は からっぽだった……。
0:井戸:0:0010:001F:0:0:0:とくに 何も 見つからなかった。
0:引き出し:0:0016:0017:0:0:0:とくに 何も 見つからなかった。
