m_type,m_name,m_floor,m_memo
M,M4OUT,,アニエス！ そこに いるのか！？
M,M4YAMI,,ＤＩＳＣ２のイベントムービー。
M,M4IN1F,しかし ここでは この呪文は〜,ボツ。
M,M4IN2F,しかし ここでは この呪文は〜,ボツ。
M,M4IN3F,しかし ここでは この呪文は〜,ボツ。
M,M4IN4F,しかし ここでは この呪文は〜,ボツ。
M,M4INB1A,しかし ここでは この呪文は〜,ボツ。
M,M4INB1B,しかし ここでは この呪文は〜,ボツ。
M,M4NOUT,海賊船,
M,M4NIN1F,海賊船の船室の１Ｆ,
M,M4NIN2F,海賊船の船室の２Ｆ,
M,M4NIN3F,海賊船の船室の３Ｆ,
M,M4NIN4F,シャークアイの船室,
M,M4NINB1A,海賊船の船倉,
M,M4NINB1B,海賊船の船倉,農夫
M,M5OUT,ユバール族の休息地,外観
M,M5IN01,ユバール族長のテント,
M,M5IN02,ユバールのテント,せまい。宝箱１
M,M5IN03,ユバールのテント,宝箱２
M,M5IN04,ユバールのテント,楽譜
M,M5IN05,ユバールのテント,
M,M5IN06,ユバールのテント,ひろい。宝箱１
M,M5NOUT,ユバール族の休息地,
M,M5NIN01,ユバール族長のテント,
M,M5NIN02,ユバールのテント,
M,M5NIN03,ユバールのテント,
M,M5NIN04,ユバールのテント,
M,M5NIN05,ユバールのテント,
M,M5NIN06,ユバールのテント,
M,M6OUT,(null),ボツ。メモリアリーフ。
M,M6NIIN1f,(null),ボツ。
M,PEPEIN1F,(null),ボツ。
M,PEPEIN2F,(null),ボツ。
M,PEPEIN3F,(null),ボツ。
M,M6AOUT,メモリアリーフ,外観。
M,M6AINB1,庭師の家の地下,
M,M6ANIIN1F,庭師の家,
M,PEPEAIN1F,メモリアリーフの屋敷,
M,PEPEAIN2F,メモリアリーフの屋敷,
M,PEPEAIN3F,メモリアリーフの屋敷,
M,M6NOUT,メモリアリーフ,現在。
M,M6NINB1,庭師の家の地下,
M,M6NNIIN1F,庭師の家,
M,PEPENIN1F,メモリアリーフの屋敷,
M,PEPENIN2F,メモリアリーフの屋敷,
M,PEPENIN3F,メモリアリーフの屋敷,
M,M7OUT,フォーリッシュ,外観。
M,M7OUTBRK,フォーリッシュ,ボロボロ
M,M7IN1F1,フォーリッシュの防壁,北の建物１Ｆ
M,M7IN1F2,フォーリッシュの教会,
M,M7IN1S1,フォーリッシュの倉庫,北の建物
M,M7IN1S2,フォーリッシュの倉庫,西
M,M7IN2,フォーリッシュの防壁,南東の建物
M,M7INBU,フォーリッシュの武器屋,
M,M7INYA,フォーリッシュの宿屋,
M,M7NOUT,フォーリッシュ,現在。
M,M7NIN1F1,フォーリッシュの防壁,
M,M7NIN1F2,フォーリッシュの教会,
M,M7NIN1S1,フォーリッシュの倉庫,
M,M7NIN1S2,フォーリッシュの倉庫,
M,M7NIN2,フォーリッシュの防壁,
M,M7NINBU,フォーリッシュの武器屋,
M,M7NINYA,フォーリッシュの宿屋,
M,M8OUT,ルーメン,外観
M,M8OUTBRK,ルーメン廃墟,滅ぼした場合
M,M8IDO1,ルーメンの井戸,洞くつに入れる
M,M8INID,ルーメンの井戸,洞くつに入れない
M,M8INIDO2,ルーメンの井戸,入れない
M,M8IN1F1,金持ちの家,
M,M8IN1F2,金持ちの家,
M,M8IN2F1,ルーメンの武器屋,
M,M8IN2F2,ルーメンの武器屋,防具屋
M,M8IN3,ルーメンの民家,老人
M,M8IN4,ルーメンの教会,
M,M8IN5,ルーメンの宿屋,
M,M8IN6F1,ルーメンの民家,２階建て
M,M8IN6F2,ルーメンの民家,
M,M8NOUT,ルーメン,現在
M,M8NOUTBRK,ルーメン廃墟,
M,M8NID,ルーメンの井戸,
M,M8NINIDBRK,ルーメンの井戸,
M,M8NIN1F1,シーブルの家,現在なんだけど
M,M8NIN1F2,シーブルの家,
M,M8NIN2F1,ルーメンの武器屋,
M,M8NIN2F2,ルーメンの武器屋,
M,M8NIN3,ルーメンの民家,
M,M8NIN4,ルーメンの教会,
M,M8NIN5,ルーメンの宿屋,
M,M8NIN6F1,ルーメンの民家,
M,M8NIN6F2,ルーメンの民家,
M,M9POUT,クレージュ,外観
M,M9PIN1,クレージュの村長の家,
M,M9PIN2,クレージュの農具小屋,
M,M9PIN3,クレージュの教会,
M,M9PIN4,クレージュの民家,
M,M9PIN5,クレージュの宿屋,
M,M9PIN6,クレージュの民家,あらくれ男
M,M9NOUT,クレージュ,
M,M9NIN1,クレージュの町長の家,
M,M9NIN2B1,ブルジオの別荘,
M,M9NIN2F1,ブルジオの別荘,
M,M9NIN2F2,ブルジオの別荘,
M,M9NIN3,クレージュの教会,
M,M9NIN4,クレージュの民家,
M,M9NIN5F1,クレージュの宿屋,
M,M9NIN5F2,クレージュの宿屋,
M,M9NIN6,クレージュの民家,ねむる男
M,M9NIN8,世界樹のしずく屋,
M,M9NIDOA,クレージュの井戸,別荘
M,M9NIDOB,クレージュの井戸,街の東
M,M9NIDOC,クレージュの水飲み場,
M,M9NIDOD,クレージュの古井戸,
M,M10B1,ダイアラックの地下道のＢ１,
M,M10B2,ダイアラックの地下道のＢ２,
M,M10B3,ダイアラックの地下道のＢ３,
M,M10B4,ダイアラックの地下道のＢ４,
M,M10IN1,ダイアラックの民家,
M,M10IN2,ダイアラックの民家,
M,M10IN3,ダイアラックの民家,
M,M10INBAR,ダイアラックの酒場,
M,M10INCH,ダイアラックの教会,
M,M10INYA,ダイアラックの宿屋,
M,M10KITI,ダイアラックの秘密基地,
M,M10OUT,ダイアラック,外観
M,M10OUTKAI,ダイアラック,ボツ
M,M10IDO,ダイアラックの井戸,
M,M11OUT,砂漠の村,外観
M,M11IN1F1,砂漠の村の族長の家,
M,M11INF2A,砂漠の村の族長の家,
M,M11INF2B,砂漠の村の族長の家,族長の部屋
M,M11IN3,砂漠の村の民家,
M,M11IN3F2,砂漠の村の民家,
M,M11IN4F1,砂漠の村の貯蔵庫,
M,M11IN4B1,砂漠の村の貯蔵庫,
M,M11IN5,砂漠の村の道具屋,
M,M11IN6,砂漠の村の民家,
M,M11NOUT,砂漠の村,現在
M,M11N1F1,砂漠の村の族長の家,
M,M11N1F2,砂漠の村の族長の家,
M,M11N4F1,砂漠の村の民家,
M,M11N4F2,砂漠の村の民家,
M,M11NIN2,砂漠の村の宿屋,
M,M11NIN3,砂漠の村の長屋,
M,M11NIN5,砂漠の村の道具屋,
M,M11NINT1,砂漠の村のツボの中,
M,M11NSON,砂漠の村の古き民家,
M,M11NIDO,砂漠の村の井戸,
M,M12OUT,リートルード,外観
M,M12IN1F1,リートルードの町長の家,
M,M12IN1F2,リートルードの町長の家,
M,M12IN2F1,リートルードの時計塔,
M,M12IN2F2,リートルードの時計塔,小部屋
M,M12IN2F3,リートルードの時計塔,
M,M12IN4,リートルードの民家,
M,M12IN5,リートルードの店屋,
M,M12IN6B1,クリーニ医院,
M,M12IN6F1,クリーニ医院,
M,M12ININ7,リートルードの教会,
M,M12IN3B1,リートルードの宿屋,
M,M12IN3BA,リートルードの酒場,
M,M12IN3F1,リートルードの宿屋,
M,M12IDO,リートルードの井戸,
M,M12NOUT,リートルード,現在
M,M12NIN1F1,ブルジオの別荘,
M,M12NIN1F2,ブルジオの別荘,
M,M12NIN2F1,リートルードの時計塔,
M,M12NIN2F2,リートルードの時計塔,小部屋
M,M12NIN2F3,リートルードの時計塔,
M,M12NIN4,リートルードの民家,
M,M12NIN5,リートルードの店屋,
M,M12NIN6B1,リートルードの学者の家,
M,M12NIN6F1,リートルードの学者の家,
M,M12NININ7,リートルードの教会,
M,M12NIN3B1,リートルードの宿屋,
M,M12NIN3BA,リートルードの酒場,
M,M12NIN3F1,リートルードの宿屋,
M,M12RNK1F,世界ランキング協会の本部,
M,M12RNK2F,世界ランキング協会の本部,
M,M12NIDO,リートルードの井戸,
M,M13OUT,ふきだまりの町,外観
M,M13FURO,公衆浴場,
M,M13IN1,ふきだまりの町の民家,ネリスの家
M,M13IN2,ふきだまりの町の民家,
M,M13INAP,共同住宅,
M,M13INBAR,ふきだまりの町の酒場,
M,M13INCH,ふきだまりの町の教会,
M,M13INYA,ふきだまりの町の宿屋,
M,M13INSUI1F,スイフーの屋敷の１Ｆ,
M,M13INSUI2F,スイフーの屋敷の２Ｆ,
M,M13IDO,ふきだまりの町の井戸,
M,M14IN1,聖風の谷の内部,西側
M,M14IN2,聖風の谷の内部,東側１Ｆ
M,M14IN3,聖風の谷の内部,東側２Ｆ
M,M14IN4,聖風の谷の内部,
M,M14IN5,聖風の谷の内部,東側３Ｆ
M,M14INCH,聖風の谷の教会,
M,M14INYA,聖風の谷の宿屋,
M,M14OUT,聖風の谷,外観
M,M14TEST,聖風の谷,外観
M,M14INZOK,聖風の谷の族長の家,
M,M14NIN1,聖風の谷の内部,現在。西側
M,M14NIN2,聖風の谷の内部,東側１Ｆ
M,M14NIN3,聖風の谷の内部,東側２Ｆ
M,M14NIN4,聖風の谷の内部,
M,M14NIN5,聖風の谷の内部,東側３Ｆ
M,M14NINCH,聖風の谷の教会,
M,M14NINYA,聖風の谷の宿屋,
M,M14NOUT,聖風の谷,外観
M,M14NTEST,聖風の谷,外観
M,M14NINZOK,聖風の谷の族長の家,
M,M15POUT,ウッドパルナ,外観
M,M15PIN1,ウッドパルナの民家,ハンクの家
M,M15PINKA,ウッドパルナの民家,
M,M15PINYA,ウッドパルナの宿屋,
M,M15NOUT,ウッドパルナ,現在
M,M15NIN1,ウッドパルナの民家,納屋
M,M15NIN2,ウッドパルナの民家,街中央
M,M15NIN3,ウッドパルナの民家,石版
M,M15INCH,ウッドパルナの教会,
M,M15NINYA,ウッドパルナの宿屋,
M,M15N1F1,ウッドパルナの塔の１Ｆ,
M,M15N1F2,ウッドパルナの塔の２Ｆ,
M,M15N1F3,ウッドパルナの塔の３Ｆ,
M,M15KAISO,マチルダの小さい頃
M,M16OUT,アボン,
M,M16INDO,アボンの道具屋,
M,M16INMI1,アボンの民家,おばさん
M,M16INMI2,アボンの民家,あらくれ男
M,M16INS1F,アボンの村長の家,
M,M16INS2F,アボンの村長の家,
M,M16IDO,アボンの井戸,
M,M17OUT,フズ,外観
M,M17OUTWT,水没したフズの村,
M,M17IN1,フズの民家,
M,M17INBU,フズの店屋,
M,M17INFU,フズの船置場,
M,M17INSON,フズの村長の家,
M,M17INYA,フズの宿屋,
M,M17YAB1,フズの酒場,
M,M18OUT,ハーメリア,外観
M,M18OUTWT,水没したハーメリア,
M,M18OUTJ,しかし ここでは この呪文は〜,ボツ。外観
M,M18BARB1,ハーメリアの水路,
M,M18BARB2,地下宝物庫,
M,M18IN1B1,ハーメリアの水路,
M,M18IN1F1,ハーメリアの民家,
M,M18IN2,ハーメリアの民家,あらくれ男
M,M18IN3,ハーメリアの民家,
M,M18INBAR,ハーメリアの酒場,
M,M18INBU,ハーメリアの店屋,
M,M18INCH,ハーメリアの教会,
M,M18INYA,ハーメリアの宿屋,
M,M18TWB1,ハーメリアの見張り台,
M,M18TWF1,ハーメリアの見張り台,
M,M18TWF2,ハーメリアの見張り台,
M,M18IDO,ハーメリアの井戸,
M,M18NOUT,ハーメリア,現在
M,M18NNBARB1,ハーメリアの水路,
M,M18NNBARB2,地下宝物庫,
M,M18NIN1B1,ハーメリアの水路,
M,M18NIN1F1,ハーメリアの民家,
M,M18NIN2,アズモフはかせの家,
M,M18NIN3,ハーメリアの民家,
M,M18NINBAR,ハーメリアの酒場,
M,M18NINBU,ハーメリアの店屋,
M,M18NINCH,ハーメリアの教会,
M,M18NINYA,ハーメリアの宿屋,
M,M18NTWB1,ハーメリアの見張り台,
M,M18NTWF1,ハーメリアの見張り台,
M,M18NTWF2,ハーメリアの見張り台,
M,M18NIDO,ハーメリアの井戸,
M,M19OUT,レブレサック,外観
M,M19IN1,レブレサックの民家,南
M,M19INCH,レブレサックの教会,
M,M19INDO,レブレサックの道具屋,
M,M19INKI,レブレサックのきこりの家,
M,M19INNA,レブレサックの納屋,
M,M19INS1F,レブレサックの村長の家,
M,M19INS2F,レブレサックの村長の家,
M,M19INYA,レブレサックの宿屋,
M,M19IDO,レブレサックの井戸,
M,M19NOUT,レブレサック,現在
M,M19NYA1F,レブレサックの宿屋,
M,M19NYA2F,レブレサックの宿屋,
M,M19NIN1,レブレサックの民家,
M,M19NIN2,レブレサックの民家,引越し作業中
M,M19NIN3,レブレサックのきこりの家,
M,M19NDO,レブレサックの道具屋,
M,M19NCH,レブレサックの教会,
M,M19NSN1F,レブレサックの物置,
M,M19NSN2F,レブレサックの村長の家,
M,M19NIDO,レブレサックの井戸,
M,M20OUT,山肌の集落,外観
M,M20IN1,山肌の集落の民家,
M,M20IN2,神官長の家,
M,M20IN3,山肌の集落の民家,広い
M,M20INHO,山肌のほら穴,
M,M20IDO,山肌の集落の井戸,
M,M21OUT,マーディラス城下町,外観
M,M21IN1F1,王立魔法研究所の１Ｆ,
M,M21IN1F2,王立魔法研究所の２Ｆ,
M,M21IN2,マーディラス城下町の民家,学者
M,M21IN3F1,マーディラス城下町の民家,ミクワ
M,M21IN3F2,マーディラス城下町の民家,
M,M21IN4,マーディラス城下町の道具屋,
M,M21IN5,マーディラス城下町の民家,老婆
M,M21IN6,マーディラス城下町の宿屋,
M,M21IN7,マーディラス城下町の教会,
M,M21IN8B1,マーディラス城下町の民家,
M,M21IN8F1,マーディラス城下町の武器屋,
M,M21IN1KO,王立魔法研究所の１Ｆ,小部屋
M,M21IN1B1,王立魔法研究所の研究室,
M,M21IDO,マーディラス城下町の洗たく場,
M,M21NOUT,マーディラス城下町,現在
M,M21N1F1,王立魔法研究所跡,
M,M21N1F2,王立魔法研究所跡,
M,M21N3F1,マーディラス城下町の民家,
M,M21N3F2,マーディラス城下町の民家,
M,M21N8B1,マーディラス城下町の楽器屋,
M,M21N8F1,マーディラス城下町の楽器屋,
M,M21NIN4,マーディラス城下町の道具屋,
M,M21NIN5,マーディラス城下町の民家,
M,M21NIN6,マーディラス城下町の宿屋,
M,M21NIN7,マーディラス城下町の教会,
M,M21NIN1B1,王立魔法研究所跡,
M,M21NIDO,マーディラス城下町の洗たく場,
M,M22OUT,オルフィー,外観
M,M22IN1,オルフィーの民家,
M,M22IN2,オルフィーの民家,老婆
M,M22IN3,オルフィーの長老の家,
M,M22INBU,オルフィーの武器屋,
M,M22INCH,オルフィーの教会,
M,M22INDO,オルフィーの道具屋,
M,M22DO2F,オルフィーの道具屋,
M,M22INNA,長老の家の納屋,
M,M22INYA,オルフィーの宿屋,
M,M22NOUT,オルフィー,現在
M,M22NIN1,オルフィーの民家,
M,M22NIN2,オルフィーの民家,
M,M22NIN3,オルフィーの長老の家,
M,M22NINBU,オルフィーの武器屋,
M,M22NINCH,オルフィーの教会,
M,M22NINDO,オルフィーの道具屋,
M,M22NDO2F,オルフィーの道具屋,
M,M22NINKA,長老の家の納屋,
M,M22NINYA,オルフィーの宿屋,
M,M23OUT,エンゴウ,外観
M,M23IN1,エンゴウの宿屋,
M,M23IN2,エンゴウのよろず屋,
M,M23IN3,エンゴウの民家,
M,M23IN4,エンゴウの民家,
M,M23IN5,エンゴウの教会,
M,M23IN6F1,エンゴウの長老の家,
M,M23IN6F2,エンゴウの長老の家,
M,M23IDO,エンゴウの井戸,
M,M23NOUT,エンゴウ,現在
M,M23NIN1,エンゴウの宿屋,
M,M23NIN2,エンゴウのよろず屋,
M,M23NIN3N,エンゴウの民家,
M,M23NIN4,エンゴウの民家,
M,M23NIN5,エンゴウの教会,
M,M23NIN6F1,エンゴウの長老の家,
M,M23NIN6F2,エンゴウの長老の家,
M,M23NBAR,エンゴウの酒場,
M,M23NINID,エンゴウの温泉,
M,M23EOUT,エンゴウ,エンディング用フロア
M,M23EIN1,エンゴウの宿屋,エンディング用フロア
M,M23EIN2,エンゴウのよろず屋,エンディング用フロア
M,M23EIN3N,エンゴウの民家,エンディング用フロア
M,M23EIN4,エンゴウの民家,エンディング用フロア
M,M23EIN5,エンゴウの教会,エンディング用フロア
M,M23EIN6F1,エンゴウの長老の家,エンディング用フロア
M,M23EIN6F2,エンゴウの長老の家,エンディング用フロア
M,M23EBAR,エンゴウの酒場,エンディング用フロア
M,M23EINID,エンゴウの温泉,エンディング用フロア
M,M24OUT,守り人の集落,外観
M,M24INA,守り人の集落の家,西
M,M24INB,守り人の集落の家,東
M,M24INC,守り人の集落の家,北
M,M24IDO,守り人の集落の井戸,
M,M24NOUT,しかし ここでは この呪文は〜,ボツフロア
M,M24NINA,しかし ここでは この呪文は〜,ボツフロア
M,M24NINB,しかし ここでは この呪文は〜,ボツフロア
M,M24NINC,しかし ここでは この呪文は〜,ボツフロア
M,M24NIDO,しかし ここでは この呪文は〜,ボツフロア
M,M25IN1F1,メザレの民家,
M,M25IN1F2,メザレの民家,
M,M25IN2,メザレの民家,宿屋の上
M,M25IN3,ニコラの家,
M,M25INYA,メザレの宿屋,
M,M25CH1F,メザレの教会,
M,M25CH2F,宝物庫,
M,M25IDO,メザレの井戸,
M,M25INBAR,メザレの酒場,
M,M25OUT,メザレ,外観
M,M25SOUKO,地下倉庫,
M,M26OUT,始祖たちの村,
M,M26BAR2F,始祖たちの村の宿屋,
M,M26CH2F,始祖たちの村の教会,
M,M26HKRA,始祖たちの村の封印のほこら,
M,M26IDO,始祖たちの村の井戸の中,
M,M26INBAR,始祖たちの村の宿屋,
M,M26INCH,始祖たちの村の教会,
M,M26INOSA,始祖たちの村の族長の家,
S,S1OUT,エスタード西の岸壁,
S,S1INF1,エスタード岸壁の家,
S,S1INB1,エスタード岸壁の家,
S,S2OUT,(null),ギュイオンヌ修道院ボツ
S,S2INCH1F,(null),ギュイオンヌ修道院ボツ
S,S2INCH2F,(null),ギュイオンヌ修道院ボツ
S,S2AOUT,ギュイオンヌ修道院,ペペバージョン
S,S2AINCH1F,ギュイオンヌ修道院の１Ｆ,
S,S2AINCH2F,ギュイオンヌ修道院の２Ｆ,
S,S2AIDO,ギュイオンヌ修道院の井戸,
S,S2NOUT,ギュイオンヌ修道院,現在
S,S2NINCH1F,ギュイオンヌ修道院の１Ｆ,
S,S2NINCH2F,ギュイオンヌ修道院の２Ｆ,
S,S2NIDO,ギュイオンヌ修道院の井戸,
S,S3OUT,からくり研究所,外観
S,S3IN1,からくり研究所の１Ｆ,研究所
S,S3IN2,からくり研究所の倉庫,
S,S3NOUT,からくり研究所,現在
S,S3NIN1,からくり研究所の１Ｆ,
S,S3NIN2,からくり研究所の倉庫,
S,S4OUT,からくり兵団拠点,外観
S,S4IN1F,からくり兵団拠点の１Ｆ,
S,S4INB1,からくり兵団拠点のＢ１,
S,S4INB2A,からくり兵団拠点のＢ２,
S,S4INB2B,からくり兵団拠点のＢ２,ボス
S,S4NOUT,なぞのからくり跡地,外観
S,S4NIN1F,なぞのからくり跡地,
S,S4NINB1,なぞのからくり跡地,
S,S4NINB2A,なぞのからくり跡地,
S,S4NINB2B,なぞのからくり跡地,
S,S5OUT,旅の宿屋,クレージュ東
S,S5IN,旅の宿屋,
S,S5NOUT,(null),ボツ
S,S5NIN,(null),ボツ
S,S06OUT,世界樹の根元,
S,S06POUT,ご神木の根元,
S,S6PIN,ご神木の根元の小屋,
S,S7OUT,化石の発掘現場,外観
S,S7IN,化石の発掘現場,テント内
S,S7IDO,発掘現場の井戸,
S,S7N,化石の発掘現場,外観
S,S8OUT,バロックのアトリエ,外観
S,S8IN1,バロックのアトリエ,１Ｆ
S,S8IN2,バロックのアトリエ,２Ｆ
S,S9OUT,関所,
S,S10OUT,旅の宿,ダーマ東
S,S10INB1,旅の宿の酒場,
S,S10INF1,旅の宿,建物の中
S,S10IDO,旅の宿の地下カジノ,
S,S10NOUT,旅の宿,現在
S,S10NINB1,旅の宿の酒場,
S,S10NINF1,旅の宿,
S,S10NIDO,旅の宿の地下カジノ,
S,S12OUT,ふしぎな森,旅の扉
S,S12OUT2,ふしぎな森,
S,S12OUT3,ふしぎな森,
S,S13OUT,ほこらの教会,外観
S,S13IN,ほこらの教会,
S,S13NOUT,ほこらの教会,現在
S,S13NIN,ほこらの教会,
S,S14TEST,(null),ボツ。七色の入り江に船ふたつ
S,S14OUT,七色の入り江,
S,S14OUT2,,水の精霊イベント
S,S15OUT,きこりの家,外観
S,S15IN1F,きこりの家,
S,S15INB1,きこりの家の地下倉庫,
S,S15IDO,きこりの家の井戸,
S,S16OUT,廃墟,ダーマ南
S,S17POUT,聖なる湖,外観
S,S17POUT2,聖なる湖,外観
S,S17PIN1F,聖なる湖のほこら,
S,S17PIN2F,聖なる湖のほこら,
S,S17NOUT,聖なる湖,現在
S,S17NOUT2,聖なる湖,
S,S17NIN1F,聖なる湖のほこら,
S,S17NIN2F,聖なる湖のほこら,
S,S18OUT,聖なる祭壇,
S,S18OUTN,忘れ去られた遺跡,
S,S19OUT,廃墟,旧グリンフレーク
S,S21OUT,船着き場,外観
S,S21IN,船着き場,建物の中
S,S22OUT,ブルジオの屋敷,外観
S,S22F1,ブルジオの屋敷の１Ｆ,
S,S22F2,ブルジオの屋敷の２Ｆ,
S,S22F3,ブルジオの屋敷の３Ｆ,
S,S22FNABA,ブルジオの船着き場,
S,S22B1F,ブルジオの屋敷のＢ１,
S,S22IDO,ブルジオの屋敷の井戸,
S,S23IN,神の兵のほこら,
S,S23OUT,神の兵のほこら,外観
S,S24OUT,山奥の販売所,外観
S,S24IN,山奥の販売所,
S,S25OUT,メダル王の城,外観
S,S25IN1F,メダル王の城,
S,S25INB1,メダル王の城のＢ１,
S,S26OUT,(null),ボツ。ローズの家
S,S26IN1F,(null),ボツ。ローズの家
S,S26IN2F,(null),ボツ。ローズの家
S,S27IN,大滝のほら穴,
S,S27OUT,大滝の崖,
S,S28OUT,謎のほこら,外観
S,S28IN,謎のほこら,
S,S29B1F,海底王の家,
S,S29F1,海底王の家,
S,S30OUT,沼地の宿屋,外観
S,S30IN1F,沼地の宿屋,
S,S30INB1,沼地の宿屋,
S,S31OUT,旅の教会,外観
S,S31IN,旅の教会,
T,T1OUT,闇のドラゴンの塔の入り口,
T,T1F1,闇のドラゴンの塔の１Ｆ,
T,T1IN2F,闇のドラゴンの塔の２Ｆ,
T,T1IN3F,闇のドラゴンの塔の３Ｆ,
T,T1IN4F,闇のドラゴンの塔の４Ｆ,
T,T1IN5F,闇のドラゴンの塔の５Ｆ,
T,T1IN6F,闇のドラゴンの塔の６Ｆ,
T,T1TOP,闇のドラゴンの塔の屋上,
T,T1NOUT,闇のドラゴンの塔の入り口,現在
T,T1N1F,闇のドラゴンの塔の１Ｆ,
T,T1NIN2F,闇のドラゴンの塔の２Ｆ,
T,T1NIN3F,闇のドラゴンの塔の３Ｆ,
T,T1NIN4F,闇のドラゴンの塔の４Ｆ,
T,T1NIN5F,闇のドラゴンの塔の５Ｆ,
T,T1NIN6F,闇のドラゴンの塔の６Ｆ,
T,T1NTOP,闇のドラゴンの塔の屋上,
T,T2B1,山奥の塔のＢ１,
T,T2F1,山奥の塔の１Ｆ,旅のトビラあり
T,T2F1BRK,山奥の塔の１Ｆ,
T,T2F2,山奥の塔の２Ｆ,
T,T2F2WT,山奥の塔の２Ｆ,水没時
T,T2F3,山奥の塔の３Ｆ,広間
T,T2F3B,山奥の塔の３Ｆ,部屋の中
T,T2F4,山奥の塔の４Ｆ,
T,T2F5,山奥の塔の５Ｆ,
T,T2NB1,山奥の塔のＢ１,現在
T,T2NF1,山奥の塔の１Ｆ,
T,T2NF2,山奥の塔の２Ｆ,
T,T2NF3,山奥の塔の３Ｆ,
T,T2NF3B,山奥の塔の３Ｆ,
T,T2NF4,山奥の塔の４Ｆ,
T,T2NF5,山奥の塔の５Ｆ,
T,T3OUT,大灯台,
T,T3F1,大灯台の１Ｆ,
T,T3F2,大灯台の２Ｆ,
T,T3F3,大灯台の３Ｆ,
T,T3F4,大灯台の４Ｆ,
T,T3F5,大灯台の５Ｆ,
T,T3F6,大灯台の６Ｆ,
T,T3F7,大灯台の７Ｆ,
T,T3IK1,なぞの異世界,足跡
T,T3IK2,なぞの異世界,バリクナジャ
T,T3TOP,大灯台の祭壇,
T,T3TOP2,大灯台の祭壇,
T,T3NOUT,大灯台,現在
T,T3NF1,大灯台の１Ｆ,
T,T3NF2,大灯台の２Ｆ,
T,T3NF3,大灯台の３Ｆ,
T,T3NF4,大灯台の４Ｆ,
T,T3NF5,大灯台の５Ｆ,
T,T3NF6,大灯台の６Ｆ,
T,T3NF7,大灯台の７Ｆ,
T,T3NIK1,しかし ここでは この呪文は〜,ボツフロア
T,T3NIK2,しかし ここでは この呪文は〜,ボツフロア
T,T3NTOP,大灯台の祭壇,
T,T4OUT,風の塔,
T,T4F1,風の塔の１Ｆ,
T,T4F2,風の塔の２Ｆ,
T,T4F3,風の塔の３Ｆ,
T,T4F4,風の塔の４Ｆ,
T,T4F5,風の塔の５Ｆ,
T,T4F6,風の塔の６Ｆ,
T,T4F7,風の塔の７Ｆ,
T,T4F8,風の塔の８Ｆ,
T,T4F9,風の塔の９Ｆ,
T,T4F10,風の塔の１０Ｆ,
T,T5OUT,バロックタワー,
T,T5IN1F,バロックタワーの１Ｆ,
T,T5IN2F,バロックタワーの２Ｆ,
T,T5IN3F,バロックタワーの３Ｆ,
T,T5IN4F,バロックタワーの４Ｆ,
T,T5IN5F,バロックタワーの５Ｆ,メイン
T,T5F5B,バロックタワーの５Ｆ,水路
T,T5TEST,(null),バロックタワー３Ｆの炎なしバージョン
T,T6OUT,世界一高い塔,
T,T6IN1F,世界一高い塔の１Ｆ,
T,T6IN2F,世界一高い塔の２Ｆ,
T,T6IN3F,世界一高い塔の３Ｆ,
T,T6IN4F,世界一高い塔の４Ｆ,
T,T65F,世界一高い塔の５Ｆ,
T,T6IN6F,世界一高い塔の６Ｆ,
T,T6F7,世界一高い塔の７Ｆ,
T,T6IN8F,世界一高い塔の８Ｆ,
T,T6F9,世界一高い塔の９Ｆ,
T,T6IN10F,世界一高い塔の最上階,メルビン
T,T7OUT,東の塔,
T,T7F1,東の塔の１Ｆ,
T,T7F2,東の塔の２Ｆ,
T,T7F3,東の塔の３Ｆ,
T,T7F4,東の塔の４Ｆ,
T,T7F5,東の塔の５Ｆ,
T,T7F6,東の塔の６Ｆ,
T,T7NOUT,東の塔,ボツフロア
T,T7NF1,東の塔の１Ｆ,ボツフロア
T,T7NF2,東の塔の２Ｆ,ボツフロア
T,T7NF3,東の塔の３Ｆ,ボツフロア
T,T7NF4,東の塔の４Ｆ,ボツフロア
T,T7NF5,東の塔の５Ｆ,ボツフロア
T,T7NF6,東の塔の６Ｆ,ボツフロア
X,X1OUT,エスタード古代遺跡,外観
X,X1SAOUT,,考古学者のイベント用
X,X1INGRD,遺跡の入り口,
X,X1IN1,遺跡のＢ１,
X,X1IN2,遺跡のＢ２,
X,X1IN3,遺跡のＢ３,
X,X1IN4,遺跡地下の大空洞,
X,X1IN5,遺跡のＢ３,
X,X1IN6,遺跡のＢ３,燭台
X,X1IN7,遺跡のかくし部屋,
X,X1IN8,聖者の間,
X,X1IN9,遺跡のＢ４,
X,X1IN10,遺跡のＢ５,メイン
X,X1IN10K0,遺跡の小部屋,宝箱
X,X1IN10K2,遺跡の小部屋,
X,X1IN11B,遺跡のＢ６,
X,X1IN12,遺跡のＢ５,
X,X1IN13,遺跡のＢ５,のぼり階段
X,X1IN14,遺跡のＢ４,ライオン
X,X1IN15,遺跡のＢ６,はっぱ
X,X1IN16,遺跡のＢ６,わかれみち
X,X1IN17,遺跡のＢ６,わかれみち
X,X1IN18,遺跡のＢ６,わかれみち
X,X1IN19,遺跡のＢ６,わかれみち
X,X1IN20,遺跡のＢ６,
X,X1IN21,遺跡のＢ５,滝
X,X1IN22,遺跡のＢ６,宝箱
X,X1IN23,遺跡のＢ５,はしご
X,X1IN24,遺跡のＢ４,聖なる水晶
