ID,モンスター名,HP,MP,すばやさ,こうげきりょく,しゅびりょく,けいけんち,ゴールド,アイテムかくりつ,アイテム,LV,メタルけい,ドラゴンけい,ゾンビけい,そらけい,スライムけい,ふくすうかい,しぜんかいふく,しゅうちゅうこうげき,みかわし,しょきじょうたい,しょきかくりつ,なかまかくりつ,メラ,ギラ,イオ,ヒャド,バギ,デイン,マヌーサ,ラリホー,ザキ,ニフラム,マホトラ,マホトーン,メダパニ,ルカニ,どく,やすみ,おどりふうじ,ほのお,ふぶき,たたき,まひ,ぐんたい
131,おどる宝石,200,10,105,99,80,90,350,5,ピンクパール,30,0,0,0,0,0,0,0,0,2,0,0,3,1,1,1,1,1,0,3,3,3,3,2,0,3,0,3,3,1,2,2,1,3,3
132,じごくのピエロ,180,10,92,108,77,88,66,4,シルクハット,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,2,1,2,3,3,1,2,0,2,1,3,1,1,0,2,1
133,テラノライナー,230,0,105,125,90,90,80,6,すばやさのたね,28,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,2,1,2,3,3,3,1,1,1,1,3,1,0,1,1,0
134,はぐれメタル,6,50,255,90,999,10500,20,6,しあわせのくつ,30,1,0,0,0,1,0,0,0,0,0,0,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
135,レノファイター,280,0,86,118,100,92,70,5,毛皮のマント,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,2,2,3,3,3,2,1,1,3,3,0,1,1,1,0
136,ヘルバイパー,120,0,68,110,80,94,65,5,どくがのナイフ,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,3,3,3,3,1,0,3,1,3,0,0,0,2,0
137,ジェリーマン,330,10,70,99,60,105,100,4,シルバートレイ,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,2,2,3,3,2,2,2,1,0,3,3,0,0,0,1,0
138,なし,30000,100,10,10,10,10,10,0,なし,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,ばくだん岩,200,20,55,105,120,80,50,4,命の石,28,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,2,0,2,1,3,2,2,2,1,1,3,3,3,1,1,0,3,1
140,ファイヤーケロッグ,155,0,67,95,87,85,42,4,ターバン,29,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,1,2,2,3,3,3,1,0,3,1,3,2,0,0,1,0
141,プロトキラー,190,0,58,89,85,95,58,5,バトルアックス,30,0,0,0,0,0,0,0,2,0,0,0,4,1,0,2,1,0,0,1,3,3,3,3,3,1,1,3,2,3,1,1,0,3,0
142,あくま神官,185,200,72,103,92,110,110,4,いかずちの杖,31,0,0,0,0,0,0,0,0,1,0,0,3,1,2,3,1,1,0,1,2,3,3,3,2,3,1,2,3,3,0,0,2,3,1
143,ファイヤーキッズ,155,25,83,99,72,100,52,4,キトンシールド,30,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,0,0,0,2,2,3,3,2,1,1,0,0,2,3,3,0,1,2,0
144,ミミック,250,15,90,135,100,210,130,6,ちからのたね,32,0,0,0,0,0,1,0,0,1,0,0,5,1,1,1,1,1,1,3,3,3,3,1,2,3,1,2,3,3,0,0,2,2,3
145,オークデビル,210,0,65,119,90,88,66,5,鉄のよろい,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,1,1,2,3,3,3,1,1,0,2,3,1,0,1,2,0
146,シープダック,180,0,82,108,62,90,77,6,すばやさのたね,30,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,1,0,1,2,2,3,3,3,2,0,1,0,3,0,2,0,1,0
147,のろいのランプ,210,8,100,140,107,87,120,6,かしこさのたね,33,0,0,0,0,0,0,0,0,1,0,0,5,1,1,1,1,2,0,1,3,3,2,2,1,2,2,2,2,3,2,2,3,3,2
148,首長竜,200,80,70,126,93,115,80,5,皮のムチ,33,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,2,2,3,3,1,1,1,0,2,1,3,2,2,0,2,1
149,スライムベホマズン,230,200,48,110,77,120,85,5,せかいじゅのしずく,30,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,1,1,1,1,2,3,3,3,2,3,0,0,2,3,0,0,1,2,0
150,ゴールドマン,255,0,54,130,120,80,650,5,金のブレスレット,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,0,2,1,2,3,3,3,2,0,3,3,3,1,1,1,3,1
151,ピグモンエビル,205,0,68,103,90,1018,58,4,皮のこしまき,30,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,0,1,1,3,3,3,3,1,1,1,2,3,0,0,0,1,0
152,サンドワーム,180,0,74,107,71,96,37,4,カメのこうら,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,2,2,1,3,3,3,1,0,2,3,3,0,0,2,1,0
153,ツボック,250,30,91,125,99,250,110,6,まもりのたね,31,0,0,0,0,0,1,0,0,1,0,0,5,1,1,1,1,2,0,2,2,3,3,1,1,3,1,2,2,3,0,0,1,2,2
154,じごくの番人,190,0,70,112,87,110,80,4,毛皮のマント,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,2,3,3,3,3,1,0,1,3,3,0,0,0,1,0
155,なし,630,10,91,160,300,450,158,0,なし,32,0,0,0,0,0,1,0,0,2,0,0,0,2,2,3,3,2,2,1,3,3,3,2,3,2,0,3,2,3,2,2,2,3,2
156,マグマロン,250,20,43,118,65,125,82,6,まもりのたね,33,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,1,1,2,1,2,1,1,0,3,2,3,3,0,0,2,0
157,マージインプ,210,35,53,105,70,120,60,5,おなべのフタ,33,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,0,2,2,3,1,2,1,1,0,1,2,3,0,0,0,2,0
158,ミステリピラー,190,16,69,116,87,123,95,6,ダンシングメイル,33,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,2,3,0,3,1,3,2,0,2,1,2,0,2,0,1,1,2,2,0
159,ダークパンサー,210,21,85,127,92,130,83,5,はがねのキバ,34,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,1,2,3,3,1,2,0,1,2,3,0,0,1,1,0
160,リザードマン,190,18,97,125,98,128,90,4,はがねのつるぎ,34,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,3,0,0,0,1,0
161,呪いのボトル,245,16,80,120,120,135,103,6,かしこさのたね,33,0,0,0,0,0,1,0,0,2,0,0,4,0,0,1,3,0,0,2,2,3,2,2,1,2,0,2,3,3,0,0,3,3,2
162,ベビークラウド,188,26,94,103,85,105,65,4,皮のぼうし,32,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,2,1,2,2,3,3,1,2,0,0,2,3,0,0,0,2,1
163,くもの大王,310,30,75,150,109,170,120,5,きぞくの服,36,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,2,2,3,3,3,3,3,2,0,3,3,3,0,0,2,3,2
164,フーガベッサム,230,0,99,121,82,125,88,4,かいぞくの服,33,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,0,3,0,1,2,3,3,3,1,0,1,2,0,0,0,1,2,0
165,ダークアーマー,200,20,78,132,130,130,92,5,はがねのよろい,34,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,2,0,0,1,3,3,1,2,1,3,0,3,3,3,1,1,2,3,1
166,アンクルホーン,285,35,70,135,100,140,104,6,命のきのみ,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,1,3,3,3,3,2,3,0,2,3,3,0,0,1,3,0
167,リビングスタチュー,225,21,87,125,94,138,72,4,アサシンダガー,35,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,2,2,0,1,3,2,3,3,3,2,0,3,3,1,0,2,1,3,1
168,ゴールデンスライム,350,18,85,122,120,350,3000,6,命のゆびわ,37,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,2,3,1,2,3,3,3,3,2,2,1,3,2,3,2,2,2,3,2
169,ヘルジュラシック,330,0,93,130,91,141,93,6,すばやさのたね,36,0,1,0,0,0,0,0,0,1,0,0,4,0,1,2,0,2,0,1,2,2,3,3,3,1,0,2,1,3,0,0,0,2,0
170,コスモファントム,310,30,105,128,100,147,107,5,はでな服,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,0,2,3,3,3,2,2,3,0,3,2,3,0,1,2,3,0
171,スカルブレード,180,0,98,133,79,138,62,5,ちからのゆびわ,35,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,2,0,1,3,2,3,3,3,3,0,3,0,1,0,0,0,3,0
172,ローズバトラー,380,5,81,132,85,160,101,5,ねむりの杖,37,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,3,0,2,3,3,3,3,3,3,0,3,3,3,0,0,2,3,1
173,ボーンライダー,280,30,77,129,79,155,93,4,鉄のやり,36,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,2,2,2,3,1,1,0,1,2,3,0,0,0,2,1
174,ウィングドラゴン,315,20,88,135,84,158,98,4,ドラゴンテイル,37,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,3,2,3,2,2,2,1,0,3,3,3,0,1,1,2,0
175,アイアンキッズ,220,0,94,122,105,142,82,5,シルバートレイ,35,0,1,0,0,0,0,0,0,0,0,0,4,0,1,2,3,1,0,1,2,2,3,3,3,2,0,3,1,3,0,2,0,2,0
176,エビルバイブル,262,33,95,140,91,163,43,6,かしこさのたね,36,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,2,3,2,3,2,3,0,2,3,3,0,0,1,1,2
177,マッドファルコン,310,30,105,145,99,170,100,5,月のおうぎ,40,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,3,3,3,1,3,0,2,3,3,0,0,0,3,1
178,フライングデビル,320,30,100,148,102,175,105,6,ちからのたね,40,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,2,0,0,1,2,3,3,3,1,3,0,1,3,3,0,0,2,3,0
179,シールドオーガ,250,0,64,139,150,180,120,4,こおりのたて,40,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,0,1,2,3,3,3,3,1,0,2,2,3,1,1,0,1,2
180,ゾンビソルジャー,350,20,70,125,75,163,72,4,バトルアックス,37,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,1,3,2,1,3,1,2,0,3,2,3,0,2,0,1,0
181,デーモントード,220,0,72,130,85,160,90,5,スライムピアス,37,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,2,3,3,1,0,3,1,3,0,0,0,1,0
182,ブラッドハンド,185,50,112,125,60,141,50,7,メガザルのうでわ,36,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,2,3,1,2,0,2,2,3,0,0,0,3,0
183,ゴールドキッズ,215,0,105,135,105,155,210,6,金のブレスレット,37,0,1,0,1,0,0,0,0,1,0,0,4,1,1,1,1,2,0,1,2,2,3,3,3,1,0,3,2,3,0,0,2,2,1
184,サンダーサタン,259,0,91,142,100,180,95,5,いかずちの杖,38,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,3,1,1,2,2,3,3,1,0,2,1,3,0,2,0,1,0
185,スライムエンペラー,310,16,85,155,125,410,300,6,女神のゆびわ,38,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,3,3,3,1,3,0,3,3,3,0,0,0,2,3
186,まかいぐんし,345,50,94,150,108,175,95,5,ルーンスタッフ,39,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,2,2,3,3,2,2,3,0,0,3,3,0,0,3,3,1
187,鉄球まじん,325,0,85,160,85,180,80,4,皮のこしまき,39,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,3,3,3,3,3,2,0,2,2,3,0,0,1,3,0
188,ジェネラルダンテ,335,35,97,158,112,188,108,4,はでな服,39,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,2,0,0,3,3,3,3,3,2,2,0,2,3,3,0,0,2,2,1
189,ランプのまおう,350,0,88,170,105,200,117,5,きぞくの服,23,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,2,0,2,2,3,3,3,3,2,0,3,3,3,0,0,2,2,2
190,なし,30000,100,10,10,10,10,10,0,なし,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,ボアソルジャー,292,0,81,148,97,173,104,4,皮のこしまき,37,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,2,1,2,3,3,3,1,0,2,2,3,0,2,0,2,0
192,アンドレアル,358,0,84,165,102,190,119,4,ドラゴンテイル,39,0,1,0,0,0,0,0,0,0,0,0,5,0,2,2,1,0,0,2,1,3,3,3,3,1,0,3,3,3,0,3,1,2,0
193,どぐう戦士,330,50,80,158,120,182,120,4,どうのつるぎ,38,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,0,0,2,2,2,3,2,1,3,0,3,3,3,0,0,0,2,0
194,リビングデッド,338,0,59,148,68,173,93,6,命のきのみ,37,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,1,1,2,3,3,3,1,0,3,2,3,0,1,0,2,1
195,しびれスライム,240,0,76,130,70,160,58,4,かいがらぼうし,36,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,2,3,3,3,1,0,1,2,3,0,0,0,1,1
196,死神きぞく,365,37,97,162,120,205,72,5,きぞくの服,38,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,3,3,1,2,1,3,0,0,3,3,0,2,2,1,0
197,ゲリュオン,352,27,102,165,110,210,102,6,まじゅうのキバ,39,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,3,0,2,3,2,3,2,1,2,0,2,1,3,0,0,2,3,0
198,ケルベロス,274,0,110,163,120,218,111,6,まじゅうのキバ,37,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,2,2,1,3,3,1,0,2,3,3,0,0,2,2,0
199,ドラゴンヘビー,390,0,97,185,130,220,150,5,ドラゴンシールド,41,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,1,2,3,3,3,1,0,2,1,3,0,0,0,2,0
200,ビッグモアイ,350,0,80,190,160,230,140,4,命の石,41,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,3,0,0,3,2,3,3,3,3,2,0,2,1,3,0,0,0,2,0
201,まどう兵,310,50,99,182,120,235,132,5,ルーンスタッフ,41,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,2,0,0,1,1,2,3,2,1,1,0,1,3,3,0,1,0,1,1
202,メタルキング,20,60,255,169,999,33000,100,6,しあわせのくつ,45,1,0,0,0,1,0,0,0,1,0,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
203,ギガミュータント,400,0,92,205,110,240,125,4,はがねのキバ,42,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,3,0,1,2,3,3,3,3,1,0,2,1,3,0,0,0,2,0
204,グレイトホーン,355,50,95,185,135,242,1510,5,ちからのゆびわ,42,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,3,3,3,3,2,1,3,1,0,3,3,0,0,2,3,0
205,デーモンレスラー,375,70,105,188,120,250,142,6,ちからのたね,43,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,1,1,0,2,3,3,3,2,2,1,1,2,2,3,0,0,1,2,0
206,メダパニシックル,280,15,110,160,82,180,70,4,まんげつ草,40,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,2,2,3,3,2,3,0,1,2,3,0,0,0,1,1
207,マジックアーマー,315,20,95,175,200,215,138,5,まほうのよろい,41,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,2,2,1,2,3,3,3,3,1,2,0,2,3,3,1,1,0,3,2
208,ヌーデビル,360,50,83,180,135,235,121,4,こおりのやいば,42,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,1,2,2,3,2,2,2,0,1,2,3,0,0,0,1,0
209,じごくの番犬,300,0,123,175,130,195,95,4,はがねのキバ,42,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,2,2,2,3,3,3,3,0,2,2,3,0,0,0,3,1
210,ドラグナー,420,0,88,190,140,227,103,5,キラーピアス,43,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,1,3,3,3,3,2,1,2,2,3,0,0,0,3,0
211,ホールファントム,450,33,97,205,111,510,162,4,風神のたて,47,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,2,2,3,3,2,1,3,0,0,2,3,0,0,1,3,2
212,ヘルビースト,313,0,99,172,135,222,122,5,パワーナックル,43,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,3,3,2,3,3,3,3,0,1,3,0,0,0,0,3,0
213,なし,30000,100,10,10,10,10,10,0,なし,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,ダークビショップ,380,90,99,172,147,257,148,5,マグマの杖,44,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,1,1,0,1,2,3,3,2,2,3,0,3,3,3,1,1,2,3,1
215,モシャスナイト,315,100,105,181,150,268,92,4,はじゃのつるぎ,44,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,2,3,3,3,3,2,3,0,3,3,3,0,0,2,3,2
216,ドラゴンコープス,456,0,63,193,92,280,73,6,命のきのみ,44,0,1,1,0,0,0,0,2,0,0,0,4,0,0,0,2,3,0,2,3,3,3,3,3,3,0,3,2,3,0,0,0,3,0
217,メガザルロック,411,50,78,182,130,262,107,6,メガザルのうでわ,44,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,0,2,2,3,3,2,2,3,1,0,3,3,0,0,0,3,1
218,にじくじゃく,456,120,95,200,150,300,155,4,月のおうぎ,45,0,0,0,1,0,0,0,0,0,0,0,4,0,2,2,0,0,0,2,3,3,3,2,1,3,0,3,3,3,0,0,1,3,1
219,呪いのつるぎ,283,0,107,210,160,266,133,6,もろはのつるぎ,43,0,0,1,0,0,0,0,2,2,0,0,4,0,0,0,0,0,3,2,3,2,3,3,3,2,0,3,3,3,0,0,1,3,1
220,ホラーウォーカー,325,50,92,179,117,248,124,5,パーティドレス,42,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,2,3,3,2,1,2,0,3,2,3,0,0,0,3,0
221,ランガー,380,20,125,200,160,297,160,5,ドラゴンクロウ,46,0,0,0,1,0,1,0,0,1,0,0,3,0,0,1,2,1,0,2,3,2,3,3,1,2,0,2,3,3,0,0,1,2,1
222,こうてつまじん,300,30,92,230,150,290,155,6,ちからのたね,46,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,2,0,1,2,3,3,2,1,2,1,3,2,3,1,1,0,3,0
223,ヘルバトラー,410,70,100,210,145,300,175,5,さばきの杖,47,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,3,3,3,3,3,2,3,1,2,2,3,0,0,2,3,0
224,オーガキング,360,0,115,195,135,270,200,6,オーガシールド,47,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0,1,3,3,3,3,3,3,1,2,3,3,1,1,1,2,0
225,ケベナヒモス,385,50,122,185,120,295,110,5,まじゅうのツメ,48,0,1,0,0,0,0,0,0,1,0,0,4,1,1,1,1,3,0,1,2,2,1,3,2,0,1,3,3,3,0,0,0,1,0
226,デスクリーチャー,280,42,78,182,130,230,70,6,命のきのみ,46,0,0,1,0,0,0,0,3,1,0,0,5,0,0,0,0,1,0,2,1,2,1,3,3,2,0,1,3,3,0,0,1,2,0
227,なし,30000,100,10,10,10,10,10,0,なし,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,ナイトリッチ,420,0,92,220,200,400,140,5,はめつのたて,47,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,3,3,3,2,3,2,3,1,3,3,3,0,2,3,3,0
229,コロヒーロー,45,13,20,38,30,25,25,4,やくそう,9,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,1,3,2,1,1,0,0,1,3,0,0,0,1,0
230,コロマージ,32,19,23,22,27,23,18,4,まだらくも糸,9,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,3,2,1,1,0,0,2,3,0,0,0,1,0
231,コロファイター,50,0,17,43,35,24,9,4,どくけし草,9,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,1,3,3,3,1,0,0,0,3,0,0,0,1,0
232,コロプリースト,37,19,19,30,33,22,12,4,せいすい,9,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,2,3,2,2,1,0,0,1,3,0,0,0,1,0
233,プチヒーロー,150,19,38,75,60,72,50,5,せかいじゅのしずく,26,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,2,3,2,1,1,0,0,1,3,0,0,0,2,0
234,プチマージ,120,22,45,55,40,68,40,5,まほうのせいすい,26,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,2,3,2,2,1,0,0,2,3,0,0,0,2,0
235,プチファイター,180,0,30,85,65,70,22,6,ちからのたね,26,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,2,3,3,3,1,0,0,0,3,0,0,0,2,0
236,プチプリースト,140,19,41,68,50,75,33,5,せかいじゅの葉,26,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,3,3,3,2,1,0,0,1,3,0,0,0,2,0
237,つのうしがい,32,4,8,20,21,12,8,4,やくそう,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,3,0,0,0,0,0
238,ベビーニュート,85,0,27,71,48,62,32,4,やくそう,24,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,2,3,3,3,1,1,0,1,3,1,1,0,2,0
239,メラリザード,49,20,20,40,32,30,20,4,やくそう,11,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,2,3,3,1,0,0,0,0,3,1,0,0,1,0
240,ドラゴンキッズ,140,0,35,101,65,124,73,5,キトンシールド,33,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,2,2,3,3,3,2,1,0,2,3,2,2,0,3,0
241,ギガントドラゴン,520,50,82,220,130,330,130,5,まじんのよろい,48,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,0,2,0,2,2,2,3,2,2,2,1,3,2,3,1,0,0,3,0
242,ネクロバルサ,440,65,102,203,135,310,142,4,なげきのたて,49,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,2,2,3,3,3,2,1,3,1,2,3,3,0,0,0,2,2
243,まかいじゅう,560,36,77,227,130,360,82,5,まじゅうのツメ,49,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,1,2,2,2,2,1,0,3,2,3,0,0,0,2,0
244,だいまどう,450,100,110,215,141,410,150,6,しゅくふくの杖,50,0,0,0,0,0,0,0,0,1,0,0,3,2,2,2,2,2,0,1,3,3,3,1,2,3,1,3,3,3,0,0,0,3,2
245,スライムLv８,120,100,30,58,35,150,50,7,やくそう,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,3,1,0,0,1,3,0,0,0,1,0
246,メタルスライムＳ,8,100,255,70,500,1050,120,7,やくそう,10,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
247,バーバリアン,370,0,99,200,121,280,92,6,まじんのオノ,47,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,2,3,3,3,3,2,0,0,2,1,0,0,0,2,0
248,デスカイザー,520,50,120,220,123,340,118,6,ふぶきのつるぎ,51,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,2,0,3,3,3,3,3,3,2,0,3,3,3,0,0,1,3,1
249,ブラックサンタ,350,0,107,190,90,200,125,6,やみのころも,42,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,2,1,2,2,3,3,3,2,0,2,1,3,0,0,0,2,0
250,デッドドラグナー,580,0,92,225,115,450,165,6,ちからのたて,52,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,2,3,0,2,2,3,3,3,3,2,1,2,3,3,0,0,0,3,0
251,サタンメイル,420,0,118,238,170,420,140,5,プラチナメイル,50,0,0,0,0,0,1,0,0,1,1,1,4,0,0,0,0,2,0,2,2,3,3,3,3,2,0,3,3,3,0,0,0,2,2
252,ブドゥのランプ,530,0,135,190,165,380,210,6,かしこさのたね,43,0,0,0,0,0,0,0,0,2,0,0,4,1,1,1,1,1,0,2,3,3,3,3,3,3,1,2,2,3,0,0,2,2,0
253,まじんブドゥ,630,100,108,240,132,510,310,5,天使のレオタード,52,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,3,2,3,3,3,1,1,3,0,2,3,3,0,0,2,3,3
254,バスカービル,420,0,125,225,123,385,132,6,あくまのツメ,48,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,2,0,0,2,1,2,3,3,3,2,0,1,1,3,0,0,0,2,0
255,ドラゴメタル,100,100,255,77,410,2500,50,5,プラチナヘッド,40,0,1,0,0,1,0,0,0,2,0,0,4,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3
256,まかいファイター,480,50,110,233,128,360,123,6,みなごろしの剣,50,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,2,1,0,2,2,3,3,2,1,2,0,1,3,3,0,0,1,2,0
257,ポムポムボム,390,30,103,190,110,285,135,5,インテリめがね,52,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,3,3,3,2,2,3,0,3,2,1,0,0,0,1,0
258,ゴーレムーガ,580,0,72,300,125,345,175,6,ごうけつのうでわ,42,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,2,1,2,2,3,3,3,2,1,1,2,3,0,0,0,2,0
259,なし,30000,100,10,10,10,10,10,0,なし,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,パンドラボックス,900,10,131,240,200,630,280,5,ひかりのドレス,50,0,0,0,0,0,2,0,0,2,0,0,5,0,1,0,2,1,2,2,3,3,3,1,3,2,2,2,2,3,0,0,0,3,3
261,くさったまじゅう,650,0,45,260,30,420,50,4,ほねつきにく,51,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,2,1,1,2,1,3,3,3,0,3,2,3,0,0,0,2,0
262,キラープラスター,530,0,102,267,92,418,87,5,やいばのよろい,53,0,0,0,0,0,1,0,0,1,0,0,4,1,1,1,0,2,0,2,2,3,3,3,3,2,0,2,3,1,0,0,0,3,1
